IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,URY,Uruguay,Year,2000,false,,,,,,,,,,,,,22,,,19,,26,22 [19 – 26],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,FJI,Fiji,Year,2000,false,,,,,,,,,,,,,22,,,20,,24,22 [20 – 24],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2000,false,,,,,,,,,,,,,221,,,161,,291,221 [161 – 291],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,GIN,Guinea,Year,2000,false,,,,,,,,,,,,,228,,,127,,358,228 [127 – 358],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2000,false,,,,,,,,,,,,,23,,,14,,34,23 [14 – 34],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,MEX,Mexico,Year,2000,false,,,,,,,,,,,,,23,,,18,,29,23 [18 – 29],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,CHL,Chile,Year,2000,false,,,,,,,,,,,,,23,,,19,,26,23 [19 – 26],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,ESP,Spain,Year,2000,false,,,,,,,,,,,,,23,,,19,,26,23 [19 – 26],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,SUR,Suriname,Year,2000,false,,,,,,,,,,,,,24,,,19,,29,24 [19 – 29],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,LBR,Liberia,Year,2000,false,,,,,,,,,,,,,240,,,173,,319,240 [173 – 319],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2000,false,,,,,,,,,,,,,241,,,161,,337,241 [161 – 337],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,THA,Thailand,Year,2000,false,,,,,,,,,,,,,241,,,78,,496,241 [78 – 496],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,MRT,Mauritania,Year,2000,false,,,,,,,,,,,,,250,,,55,,590,250 [55 – 590],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,GEO,Georgia,Year,2000,false,,,,,,,,,,,,,254,,,34,,691,254 [34 – 691],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2000,false,,,,,,,,,,,,,26,,,22,,30,26 [22 – 30],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2000,false,,,,,,,,,,,,,26,,,22,,31,26 [22 – 31],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,HTI,Haiti,Year,2000,false,,,,,,,,,,,,,270,,,129,,462,270 [129 – 462],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2000,false,,,,,,,,,,,,,275,,,174,,399,275 [174 – 399],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,UGA,Uganda,Year,2000,false,,,,,,,,,,,,,276,,,106,,527,276 [106 – 527],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,TON,Tonga,Year,2000,false,,,,,,,,,,,,,28,,,18,,40,28 [18 – 40],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,WSM,Samoa,Year,2000,false,,,,,,,,,,,,,28,,,18,,41,28 [18 – 41],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,SYC,Seychelles,Year,2000,false,,,,,,,,,,,,,28,,,24,,33,28 [24 – 33],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2000,false,,,,,,,,,,,,,285,,,175,,421,285 [175 – 421],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,IND,India,Year,2000,false,,,,,,,,,,,,,289,,,99,,578,289 [99 – 578],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2000,false,,,,,,,,,,,,,29,,,25,,33,29 [25 – 33],,,EN,2021-10-11T11:00:00.000Z
